R_m,R_km,t_m,mu_wall,qppp_max,ok_thermal,ok_shielding,ok_both
296.19362959451735,0.29619362959451734,0.10873847651690026,293.5938865956307,3.860286381959915,1,0,0
301.8901698831309,0.3018901698831309,0.11082978791089941,299.2404273594284,3.787210562109947,1,0,0
307.69626881182836,0.3076962688118284,0.112961320425212,304.9955651480724,3.7155136921405787,1,0,0
313.61403346578896,0.313614033465789,0.11513384761203285,310.8613885524887,3.645169752836227,1,0,0
319.64561145468144,0.31964561145468146,0.11734815790088984,316.8400263324026,3.576153215527535,1,0,0
325.79319169205127,0.3257931916920513,0.11960505488477209,322.93364818888466,3.508439033567906,1,0,0
332.05900518969656,0.33205900518969655,0.12190535761176087,329.14446555175437,3.442002632856368,1,0,0
338.4453258673211,0.3384453258673211,0.12424990088226924,335.47473238212694,3.3768199030160906,1,0,0
344.9544713777613,0.3449544713777613,0.12663953555199878,341.9267459903967,3.312867188632489,1,0,0
351.5888039480833,0.3515888039480833,0.12907512884072297,348.502847869952,3.2501212806701654,1,0,0
358.35073123685606,0.35835073123685607,0.13155756464700885,355.2054245469239,3.188559408068657,1,0,0
365.24270720791105,0.3652427072079111,0.13408774386899125,362.03690844627636,3.128159229397774,1,0,0
372.2672330209087,0.3722672330209087,0.1366665847313173,368.9997787745567,3.068898825049401,1,0,0
379.426857939032,0.379426857939032,0.13929502311837832,376.0965624196215,3.010756688714027,1,0,0
386.72418025413646,0.38672418025413646,0.14197401291395065,383.32983486766676,2.953711720108987,1,0,0
394.1618482296925,0.3941618482296925,0.14470452634736808,390.7022211378938,2.8977432170510298,1,0,0
401.7425610618647,0.4017425610618647,0.14748755434635305,398.21639673515324,2.8428308681249623,1,0,0
409.46906985907503,0.40946906985907505,0.15032410689663325,405.87508862090976,2.788954745173454,1,0,0
417.3441786404039,0.4173441786404039,0.15321521340847435,413.6810762028808,2.7360952959060665,1,0,0
